Title,Year,Rating,Runtime,Critic.Score,Box.Office
Happily N'Ever After,2006,PG,87,4,151.9
Thr3e,2006,PG-13,101,5,1
Children of Men,2006,R,109,92,35.3
Alpha Dog,2006,R,122,55,15.1
God Grew Tired of Us,2006,PG,89,91,0.1
Pan's Labyrinth,2006,R,118,95,37.4
The Painted Veil,2006,PG-13,125,74,7.9
The Good German,2006,R,105,33,0.9
Idiocracy,2006,R,84,73,0.3
Smokin' Aces,2006,R,108,29,35.6
Catch and Release,2006,PG-13,124,21,15.3
Letters from Iwo Jima,2006,R,141,91,13.7
10 Items or Less,2006,R,82,63,0.0693
Factory Girl,2006,R,90,19,1.6
The Bridge,2006,R,94,67,0.0493
The Astronaut Farmer,2006,PG,104,57,11
Amazing Grace,2006,PG,118,70,21.2
Black Snake Moan,2006,R,116,66,9.3
Copying Beethoven,2006,PG-13,104,28,0.2
300,2006,R,117,60,210.6
Starter for 10,2006,PG-13,92,89,0.2
Miss Potter,2006,PG,92,66,2.9
The Ultimate Gift,2006,PG,114,32,3.2
First Snow,2006,R,101,58,0.1
The Namesake,2006,PG-13,122,87,13.5
Seraphim Falls,2006,R,115,55,0.3
Jesus Camp,2006,PG-13,87,87,0.8
Blind Dating,2006,PG-13,95,25,0.0619
The Ex,2006,PG-13,89,19,3
Away from Her,2006,PG-13,110,94,15.8
Bug,2006,R,102,61,7
Hollywood Dreams,2006,R,100,36,0.0892
DOA: Dead or Alive,2006,PG-13,87,34,0.3
Rescue Dawn,2006,PG-13,120,91,5.3
El cantante,2006,R,106,25,7.5
Mini's First Time,2006,R,91,54,0.0218
Skinwalkers,2006,R,110,14,1
Come Early Morning,2006,R,97,83,0.0502
Fay Grim,2006,R,118,44,0.0618
Bella,2006,PG-13,91,44,7.9
Southland Tales,2006,R,145,36,0.2
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,2006,R,100,57,0.5
Penelope,2006,PG,104,53,9.8
Bonneville,2006,PG,93,40,0.3
Little Chenier,2006,R,120,60,0.0444
The Fall,2006,R,117,59,2.1
Civic Duty,2006,R,98,56,0.0549
The Foot Fist Way,2006,R,85,54,0.2
The Heart Specialist,2006,R,99,0,1.1
Starting Out in the Evening,2007,PG-13,111,87,0.6
Music Within,2007,R,94,33,0.1
Code Name: The Cleaner,2007,PG-13,84,4,8.1
Freedom Writers,2007,PG-13,123,69,36.5
Primeval,2007,R,93,19,10.4
Stomp the Yard,2007,PG-13,109,26,61.4
The Hitcher,2007,R,84,21,16.2
Blood and Chocolate,2007,PG-13,98,11,3.4
Epic Movie,2007,PG-13,86,2,39.7
Because I Said So,2007,PG-13,102,5,42.6
The Messengers,2007,PG-13,90,12,35.4
The Last Sin Eater,2007,PG-13,117,19,0.2
Norbit,2007,PG-13,102,9,95.3
Daddy's Little Girls,2007,PG-13,100,26,31.3
Music and Lyrics,2007,PG-13,96,62,50.5
Bridge to Terabithia,2007,PG,96,85,82.2
Breach,2007,PG-13,110,84,33
Ghost Rider,2007,PG-13,114,26,115.8
The Number 23,2007,R,101,8,35.1
Reno 911!: Miami,2007,R,84,35,20.3
Wild Hogs,2007,PG-13,100,14,168.2
Zodiac,2007,R,157,89,33
Shoot Down,2007,PG-13,85,80,0.0514
Dead Silence,2007,R,89,21,16.5
Premonition,2007,PG-13,96,8,47.9
Reign Over Me,2007,R,124,64,19.7
Shooter,2007,R,124,48,47
The Hills Have Eyes II,2007,R,89,11,20.8
TMNT,2007,PG,87,34,54.1
Pride,2007,PG,104,45,7
The Last Mimzy,2007,PG,90,53,21.4
Blades of Glory,2007,PG-13,93,69,118.2
Meet the Robinsons,2007,G,95,66,97.7
The Lookout,2007,R,99,87,4.5
Are We Done Yet?,2007,PG,92,8,50
Firehouse Dog,2007,PG,111,38,13.9
The Reaping,2007,R,99,8,25.1
Grindhouse,2007,R,191,83,24.9
Redline,2007,PG-13,95,0,6.8
Disturbia,2007,PG-13,105,68,80.1
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,R,86,48,5.4
My Name Is Bruce,2007,R,86,40,0.1
Perfect Stranger,2007,R,109,11,23.7
Pathfinder,2007,R,99,11,10.2
Hot Fuzz,2007,R,121,91,23.6
Fracture,2007,R,113,71,39
Vacancy,2007,R,85,56,19
In the Land of Women,2007,PG-13,97,43,11
The Hammer,2007,R,88,80,0.3
The Condemned,2007,R,113,15,7.3
The Invisible,2007,PG-13,102,20,20.5
Next,2007,PG-13,96,28,18
Spider-Man 3,2007,PG-13,139,63,336.5
Lucky You,2007,PG-13,124,29,5.7
Interview,2007,R,84,57,0.3
Delta Farce,2007,PG-13,90,5,8.1
Georgia Rule,2007,R,113,17,18.9
Year of the Dog,2007,PG-13,97,69,1.5
Shrek the Third,2007,PG,93,40,320.7
Pirates of the Caribbean: At World's End,2007,PG-13,169,45,309.4
Waitress,2007,PG-13,108,89,18.7
Mr. Brooks,2007,R,120,55,28.4
Crazy Love,2007,PG-13,92,78,0.2
Gracie,2007,PG-13,95,60,2.9
Hostel: Part II,2007,R,94,44,17.5
Ocean's Thirteen,2007,PG-13,122,70,117.1
Surf's Up,2007,PG,85,78,58.9
The Living Wake,2007,PG-13,91,50,0.0121
Fantastic 4: Rise of the Silver Surfer,2007,PG,92,37,131.8
Nancy Drew,2007,PG,99,49,25.5
1408,2007,PG-13,104,79,71.9
A Mighty Heart,2007,R,108,79,9.1
Evan Almighty,2007,PG,96,23,100.3
Live Free or Die Hard,2007,PG-13,128,82,134.5
Ratatouille,2007,G,111,96,206.4
Evening,2007,PG-13,117,27,12.4
License to Wed,2007,PG-13,91,7,43.7
Nanking,2007,R,88,96,0.0455
Sicko,2007,PG-13,123,92,24.3
Rise: Blood Hunter,2007,R,97,33,0.0594
Harry Potter and the Order of the Phoenix,2007,PG-13,138,79,292
You Kill Me,2007,R,93,78,2.3
Captivity,2007,R,96,9,2.6
Joshua,2007,R,106,62,0.4
I Now Pronounce You Chuck & Larry,2007,PG-13,115,14,119.7
Hairspray,2007,PG,117,91,118.8
Who's Your Caddy?,2007,PG-13,93,6,5.5
I Know Who Killed Me,2007,R,105,7,7.2
The Simpsons Movie,2007,PG-13,87,90,183
No Reservations,2007,PG,104,42,43.1
Bratz,2007,PG,110,9,9.9
Underdog,2007,PG,84,14,43.7
Hot Rod,2007,PG-13,88,40,13.9
Talk to Me,2007,R,118,82,4.4
The Bourne Ultimatum,2007,PG-13,115,93,227.4
Daddy Day Camp,2007,PG,93,1,13.2
The Walker,2007,R,108,54,0.0432
Rush Hour 3,2007,PG-13,91,18,140.1
Stardust,2007,PG-13,127,76,38.2
Superbad,2007,R,113,88,121.5
Arctic Tale,2007,G,96,61,0.6
The Invasion,2007,PG-13,99,19,15
September Dawn,2007,R,111,13,1.1
Resurrecting the Champ,2007,PG-13,112,60,2.9
Illegal Tender,2007,R,108,15,3.1
The Legend of God's Gun,2007,R,78,0,0.0772
Balls of Fury,2007,PG-13,90,23,32.8
Halloween,2007,R,109,25,58.2
Death Sentence,2007,R,105,20,9.5
Ladrón que roba a ladrón,2007,PG-13,98,66,4
The Brothers Solomon,2007,R,93,15,0.9
Shoot 'Em Up,2007,R,86,67,12.7
3:10 to Yuma,2007,R,122,89,53.6
Greetings from the Shore,2007,R,116,70,0.0405
Mr. Woodcock,2007,PG-13,87,13,25.8
The Brave One,2007,R,122,43,36.8
The Hunting Party,2007,R,101,53,0.8
Eastern Promises,2007,R,100,89,17.1
Sydney White,2007,PG-13,108,37,11.7
Resident Evil: Extinction,2007,R,94,22,50.6
Good Luck Chuck,2007,R,96,5,35
Feast of Love,2007,R,101,39,3.4
In the Valley of Elah,2007,R,121,73,6.6
Rocket Science,2007,R,101,84,0.6
The Kingdom,2007,R,110,51,47.5
The Game Plan,2007,PG,110,29,90.5
Feel the Noise,2007,PG-13,86,12,5.9
The Heartbreak Kid,2007,R,116,29,36.8
Control,2007,R,122,87,0.8
The Jane Austen Book Club,2007,PG-13,106,65,3.3
The 11th Hour,2007,PG,95,67,0.6
Elizabeth: The Golden Age,2007,PG-13,114,35,16.3
The Final Season,2007,PG,119,26,1
Michael Clayton,2007,R,119,90,49
We Own the Night,2007,R,117,57,28.6
Across the Universe,2007,PG-13,133,53,24.3
Trade,2007,R,120,29,0.1
Rendition,2007,R,122,47,9.7
Sarah Landon and the Paranormal Hour,2007,PG,81,0,0.8
Into the Wild,2007,R,148,82,18.2
The Ten Commandments,2007,PG,88,14,0.8
30 Days of Night,2007,R,113,51,39.6
Gone Baby Gone,2007,R,114,94,20.3
Things We Lost in the Fire,2007,R,118,65,3.2
The Assassination of Jesse James by the Coward Robert Ford,2007,R,160,76,3.8
The Comebacks,2007,PG-13,84,9,13.3
Paranoid Park,2007,R,85,76,0.2
The Darjeeling Limited,2007,R,91,68,11.7
Dan in Real Life,2007,PG-13,98,64,47.6
Saw IV,2007,R,93,17,63.3
Youth Without Youth,2007,R,124,30,0.1
Darfur Now,2007,PG,98,73,0.0639
Lars and the Real Girl,2007,PG-13,106,81,5.8
Bee Movie,2007,PG,91,51,126.6
In the Shadow of the Moon,2007,PG,100,95,0.9
Martian Child,2007,PG,106,33,7.5
American Gangster,2007,R,157,80,130.1
Lions for Lambs,2007,R,92,27,15
P2,2007,R,98,35,4
Fred Claus,2007,PG,116,21,72
Mr. Magorium's Wonder Emporium,2007,G,93,37,31.9
What Would Jesus Buy?,2007,PG,91,57,0.1
Love in the Time of Cholera,2007,R,139,26,4.6
Beowulf,2007,PG-13,115,71,82.2
Redacted,2007,R,90,45,0.0256
Enchanted,2007,PG,107,93,127.7
No Country for Old Men,2007,R,122,93,74.2
August Rush,2007,PG,114,37,31.5
The Mist,2007,R,126,73,25.5
This Christmas,2007,PG-13,117,56,49.1
Sleuth,2007,R,86,36,0.2
Awake,2007,R,84,23,14.3
The Golden Compass,2007,PG-13,113,42,70.1
I'm Not There.,2007,R,135,76,3.7
Before the Devil Knows You're Dead,2007,R,117,88,7
Noëlle,2007,PG,90,57,0.2
The Perfect Holiday,2007,PG,96,16,5.8
I Am Legend,2007,PG-13,101,70,256.3
Alvin and the Chipmunks,2007,PG,92,27,217.2
Margot at the Wedding,2007,R,91,52,1.9
Charlie Wilson's War,2007,R,102,82,66.6
Walk Hard: The Dewey Cox Story,2007,R,96,74,18.3
National Treasure: Book of Secrets,2007,PG,124,35,219.9
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,86,52.8
Juno,2007,PG-13,96,94,143.4
Aliens vs. Predator: Requiem,2007,R,94,12,41.7
In the Name of the King: A Dungeon Siege Tale,2007,PG-13,127,4,4.5
The Kite Runner,2007,PG-13,128,66,15.7
The Bucket List,2007,PG-13,97,41,93.5
Atonement,2007,R,123,83,50.8
Cassandra's Dream,2007,PG-13,108,46,0.9
How She Move,2007,PG-13,94,66,7
There Will Be Blood,2007,R,158,91,40.1
The Savages,2007,R,113,89,6.4
The Diving Bell and the Butterfly,2007,PG-13,112,94,5.9
Diary of the Dead,2007,R,95,62,0.7
Charlie Bartlett,2007,R,97,56,3.7
Persepolis,2007,PG-13,96,96,4.3
U2 3D,2007,G,85,93,10.4
The King of Kong: A Fistful of Quarters,2007,PG-13,79,97,0.5
The Band's Visit,2007,PG-13,87,98,3
"Run, Fatboy, Run",2007,PG-13,100,48,5.9
Married Life,2007,PG-13,91,55,1.2
Teeth,2007,R,94,79,0.2
Funny Games,2007,R,111,52,1
Under the Same Moon,2007,PG-13,106,73,12.5
88 Minutes,2007,R,108,5,16.9
Then She Found Me,2007,R,100,50,3.7
Surfwise,2007,R,93,98,0.2
The Visitor,2007,PG-13,104,89,9.2
Trumbo,2007,PG-13,96,82,0.0281
Broken English,2007,PG-13,93,64,0.8
Encounters at the End of the World,2007,G,99,94,0.7
The Ten,2007,R,96,37,0.5
The Life Before Her Eyes,2007,R,90,24,0.2
Snow Angels,2007,R,107,68,0.3
Towelhead,2007,R,124,49,0.3
Tortilla Heaven,2007,PG-13,98,25,0.0735
Nobel Son,2007,R,110,25,0.3
Everybody Wants to Be Italian,2007,R,105,9,0.3
Earth,2007,G,90,87,32
Battle for Terra,2007,PG,85,48,1.6
Brooklyn Rules,2007,R,99,45,0.2
Paranormal Activity,2007,R,86,83,107.9
One Missed Call,2008,PG-13,87,0,26.8
The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,G,85,39,12.7
Mad Money,2008,PG-13,104,22,20.5
27 Dresses,2008,PG-13,111,41,76.8
Cloverfield,2008,PG-13,85,77,80
Bigger Stronger Faster*,2008,PG-13,105,96,0.2
The Mysteries of Pittsburgh,2008,R,95,12,0.0328
Untraceable,2008,R,101,16,28.7
Meet the Spartans,2008,PG-13,86,2,38.2
Rambo,2008,R,92,37,42.7
Over Her Dead Body,2008,PG-13,95,15,7.5
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,G,74,72,65.1
The Eye,2008,PG-13,98,22,31.4
Strange Wilderness,2008,R,87,2,6.5
Fool's Gold,2008,PG-13,112,11,70.2
"Welcome Home, Roscoe Jenkins",2008,PG-13,114,22,42.2
Jumper,2008,PG-13,88,16,80.1
Step Up 2: The Streets,2008,PG-13,98,27,58
The Spiderwick Chronicles,2008,PG,96,80,71.1
"Definitely, Maybe",2008,PG-13,112,71,32
Witless Protection,2008,PG-13,97,4,4.1
Be Kind Rewind,2008,PG-13,102,66,11
Vantage Point,2008,PG-13,90,35,72.3
Semi-Pro,2008,R,91,21,33.4
In Bruges,2008,R,107,84,7.6
The Other Boleyn Girl,2008,PG-13,115,42,26.8
"10,000 BC",2008,PG-13,109,8,94.8
Miss Pettigrew Lives for a Day,2008,PG-13,92,77,12.3
College Road Trip,2008,G,83,13,45.6
The Bank Job,2008,R,111,79,30
Never Back Down,2008,PG-13,110,22,24.8
Doomsday,2008,R,105,50,11
Horton Hears a Who!,2008,G,86,79,154.4
Meet the Browns,2008,PG-13,100,32,41.9
Shutter,2008,PG-13,85,7,25.9
Drillbit Taylor,2008,PG-13,110,25,32.9
Stop-Loss,2008,R,112,65,10.8
21,2008,PG-13,123,36,81.2
Superhero Movie,2008,PG-13,75,16,25.8
Nim's Island,2008,PG,96,51,47.9
Shine a Light,2008,PG-13,122,87,5.4
Leatherheads,2008,PG-13,114,52,31.2
The Ruins,2008,R,90,48,17.4
Street Kings,2008,R,109,36,26.4
Prom Night,2008,PG-13,88,8,43.8
Smart People,2008,R,95,49,9.5
Forgetting Sarah Marshall,2008,R,111,85,62.9
Expelled: No Intelligence Allowed,2008,PG,90,11,7.5
The Forbidden Kingdom,2008,PG-13,104,64,51.9
Deception,2008,R,107,14,4.6
Harold & Kumar Escape from Guantanamo Bay,2008,R,104,53,38.1
Baby Mama,2008,PG-13,99,64,60.3
Iron Man,2008,PG-13,126,94,318.3
Made of Honor,2008,PG-13,101,14,46
Speed Racer,2008,PG,135,39,43.9
What Happens in Vegas,2008,PG-13,99,27,80.2
Where in the World Is Osama Bin Laden?,2008,PG-13,90,38,0.3
Redbelt,2008,R,99,68,2.3
The Chronicles of Narnia: Prince Caspian,2008,PG,150,67,141.6
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,78,317
Sex and the City,2008,R,145,49,152.6
The Strangers,2008,R,86,45,52.5
Kung Fu Panda,2008,PG,92,87,215.4
You Don't Mess with the Zohan,2008,PG-13,113,38,100
Waltz with Bashir,2008,R,90,96,2.1
The Children of Huang Shi,2008,R,125,30,0.7
The Promotion,2008,R,86,53,0.4
The Happening,2008,R,91,17,64.5
The Incredible Hulk,2008,PG-13,112,67,134.5
"War, Inc.",2008,R,107,30,0.5
The Love Guru,2008,PG-13,87,14,32.2
Get Smart,2008,PG-13,110,51,130.2
Wanted,2008,R,110,72,134.3
WALL·E,2008,G,98,96,223.7
Kit Kittredge: An American Girl,2008,G,101,79,17.5
Hancock,2008,PG-13,92,41,227.9
CSNY/Déjà Vu,2008,R,96,68,0.0329
Journey to the Center of the Earth,2008,PG,93,61,101.7
Hellboy II: The Golden Army,2008,PG-13,120,86,75.8
Meet Dave,2008,PG,90,20,11.6
Outlander,2008,R,115,37,0.0596
Fireflies in the Garden,2008,R,120,20,0.0369
Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,R,120,86,1
The Dark Knight,2008,PG-13,152,94,533.3
Mamma Mia!,2008,PG-13,108,54,143.7
Space Chimps,2008,G,81,34,29.9
Step Brothers,2008,R,98,55,100.5
The X Files: I Want to Believe,2008,PG-13,104,31,20.8
The Wackness,2008,R,99,69,2
Swing Vote,2008,PG-13,120,38,16.2
The Mummy: Tomb of the Dragon Emperor,2008,PG-13,112,13,101.6
The Sisterhood of the Traveling Pants 2,2008,PG-13,117,65,44
The Midnight Meat Train,2008,R,100,71,0.0344
Beer for My Horses,2008,PG-13,86,0,0.6
Tropic Thunder,2008,R,107,83,110.4
Star Wars: The Clone Wars,2008,PG,98,18,35.1
Mirrors,2008,R,110,14,30.6
Vicky Cristina Barcelona,2008,PG-13,96,81,23.2
American Teen,2008,PG-13,95,69,0.8
Henry Poole Is Here,2008,PG,99,39,1.7
The Rocker,2008,PG-13,102,41,6.3
The Longshots,2008,PG,94,41,11.4
Death Race,2008,R,105,43,36.1
The House Bunny,2008,PG-13,97,42,48.2
Traitor,2008,PG-13,114,64,23.5
Hamlet 2,2008,R,92,62,4.8
College,2008,R,94,5,4.6
Elegy,2008,R,112,75,3.5
Man on Wire,2008,PG-13,94,100,2.6
Fly Me to the Moon 3D,2008,G,84,19,13.6
Disaster Movie,2008,PG-13,87,1,14.2
Bottle Shock,2008,PG-13,110,48,3.9
Frozen River,2008,R,97,88,2.1
Bangkok Dangerous,2008,R,99,9,15.2
The Women,2008,PG-13,114,13,26.8
The Family That Preys,2008,PG-13,111,51,37
Righteous Kill,2008,R,101,19,40
Burn After Reading,2008,R,96,78,60.3
Igor,2008,PG,87,36,19.4
My Best Friend's Girl,2008,R,101,14,19.2
Ghost Town,2008,PG-13,102,85,13.2
Lakeview Terrace,2008,PG-13,110,45,39.3
Eagle Eye,2008,PG-13,118,26,101.1
Fireproof,2008,PG,122,40,33.5
Nights in Rodanthe,2008,PG-13,97,30,41.8
Choke,2008,R,92,54,2.8
Forever Strong,2008,PG-13,112,29,0.5
Miracle at St. Anna,2008,R,160,34,7.8
The Lucky Ones,2008,R,115,37,0.2
Appaloosa,2008,R,115,77,20.2
Flash of Genius,2008,PG-13,119,59,4.2
Beverly Hills Chihuahua,2008,PG,91,41,94.5
Religulous,2008,R,101,70,13
An American Carol,2008,PG-13,83,11,7
Nick and Norah's Infinite Playlist,2008,PG-13,90,74,31.5
The Duchess,2008,PG-13,110,61,13.8
Quarantine,2008,R,89,58,31.7
The Express,2008,PG,130,61,9.6
Body of Lies,2008,R,128,54,39.4
City of Ember,2008,PG,90,53,7.8
Billy: The Early Years,2008,PG,98,0,0.3
The Secret Life of Bees,2008,PG-13,114,58,37.7
W.,2008,PG-13,129,59,25.5
Sex Drive,2008,R,109,45,8.4
Max Payne,2008,PG-13,100,16,40.6
Passengers,2008,PG-13,93,20,0.3
Noah's Arc: Jumping the Broom,2008,R,101,50,0.4
Pride and Glory,2008,R,130,35,15.7
Roadside Romeo,2008,PG,93,0,0.0418
Saw V,2008,R,92,12,56.7
High School Musical 3: Senior Year,2008,G,112,65,90.5
Changeling,2008,R,141,62,35.7
RocknRolla,2008,R,114,59,5.7
What Just Happened,2008,R,104,51,1
The Haunting of Molly Hartley,2008,PG-13,82,3,13.4
Zack and Miri Make a Porno,2008,R,101,65,31.4
Role Models,2008,R,99,78,67.3
House,2008,R,88,0,0.5
Rachel Getting Married,2008,R,113,85,12.7
Soul Men,2008,R,100,45,12
Madagascar: Escape 2 Africa,2008,PG,89,64,180
Quantum of Solace,2008,PG-13,106,65,168.4
I.O.U.S.A.,2008,PG,85,88,0.6
"Synecdoche, New York",2008,R,124,68,3
Twilight,2008,PG-13,122,48,191.4
Bolt,2008,PG,96,89,114.1
Four Christmases,2008,PG-13,88,25,120.1
The Boy in the Striped Pajamas,2008,PG-13,94,63,9
Transporter 3,2008,PG-13,104,37,31.3
Australia,2008,PG-13,165,55,49.4
Punisher: War Zone,2008,R,103,27,7.9
Cadillac Records,2008,R,109,67,8.1
Sleep Dealer,2008,PG-13,90,69,0.035
The Day the Earth Stood Still,2008,PG-13,104,21,79.1
Nothing Like the Holidays,2008,PG-13,98,52,7.5
Delgo,2008,PG,94,12,0.5
Seven Pounds,2008,PG-13,123,27,70
The Tale of Despereaux,2008,G,93,56,50.8
Yes Man,2008,PG-13,104,46,97.6
Free Style,2008,PG,94,29,0.0978
Bedtime Stories,2008,PG,99,25,110
The Curious Case of Benjamin Button,2008,PG-13,166,73,127.5
Slumdog Millionaire,2008,R,120,92,141.2
The Spirit,2008,PG-13,103,14,19.8
Valkyrie,2008,PG-13,121,62,83
Doubt,2008,PG-13,104,78,33.4
Marley & Me,2008,PG,115,63,143.1
Gran Torino,2008,R,116,79,148.1
Last Chance Harvey,2008,PG-13,93,70,14.8
Defiance,2008,R,137,57,28.6
Hell Ride,2008,R,84,10,0.2
Frost/Nixon,2008,R,122,92,18.6
Inkheart,2008,PG,106,38,17.3
Revolutionary Road,2008,R,119,67,22.9
The Reader,2008,R,124,61,34.1
Milk,2008,R,128,94,31.7
The Wrestler,2008,R,109,98,26.1
The Other End of the Line,2008,PG-13,106,37,0.0591
Wendy and Lucy,2008,R,80,85,0.7
Morning Light,2008,PG,97,33,0.1
Two Lovers,2008,R,110,82,3
The Great Buck Howard,2008,PG,90,72,0.6
Sunshine Cleaning,2008,R,91,72,12
American Violet,2008,PG-13,103,74,0.5
Sugar,2008,R,114,92,1
Valentino: The Last Emperor,2008,PG-13,96,77,1.6
Management,2008,R,94,46,0.8
Rudo y Cursi,2008,R,103,73,1.7
Tyson,2008,R,90,85,0.8
Soul Power,2008,PG-13,92,85,0.0239
Every Little Step,2008,PG-13,96,92,1.5
The Brothers Bloom,2008,PG-13,114,66,3.5
The Hurt Locker,2008,R,131,98,15.7
"Food, Inc.",2008,PG,94,96,4.2
Goodbye Solo,2008,R,91,94,0.8
It Might Get Loud,2008,PG,98,80,1.2
The Secrets of Jonathan Sperry,2008,PG,96,0,1.1
The Stoning of Soraya M.,2008,R,114,57,0.5
The Loss of a Teardrop Diamond,2008,PG-13,102,26,0.0945
More Than a Game,2008,PG,105,71,0.9
"New York, I Love You",2008,R,103,36,1.6
The Burning Plain,2008,R,107,35,0.0587
The Yellow Handkerchief,2008,PG-13,102,67,0.2
The Merry Gentleman,2008,R,110,63,0.3
Me and Orson Welles,2008,PG-13,114,85,1.1
"Lovely, Still",2008,PG,92,71,0.1
Youssou Ndour: I Bring What I Love,2008,PG,102,83,0.0326
Finding Amanda,2008,R,96,40,0.0313
The Wrecking Crew,2008,PG,101,92,0.8
Street Dreams,2009,R,88,0,0.0849
Alien Trespass,2009,PG,90,35,0.0434
The Unborn,2009,PG-13,88,10,42.6
Bride Wars,2009,PG,89,10,58.6
Not Easily Broken,2009,PG-13,99,33,10.6
My Bloody Valentine,2009,R,101,57,51.5
Paul Blart: Mall Cop,2009,PG,91,33,146.3
Chandni Chowk to China,2009,PG-13,154,44,0.9
Hotel for Dogs,2009,PG,100,45,73
Notorious,2009,R,122,51,36.7
The Slammin' Salmon,2009,R,90,35,0.0262
La mission,2009,R,117,48,1.1
Underworld: Rise of the Lycans,2009,R,92,29,45.8
The Uninvited,2009,PG-13,87,32,28.6
New in Town,2009,PG,97,29,16.7
Push,2009,PG-13,111,23,31.7
Coraline,2009,PG,100,90,75.2
He's Just Not That Into You,2009,PG-13,129,40,93.9
The Pink Panther 2,2009,PG,92,12,35.9
Friday the 13th,2009,R,97,25,65
The International,2009,R,118,59,25.5
Confessions of a Shopaholic,2009,PG,104,25,44.2
Under the Sea 3D,2009,G,40,94,34.6
Fanboys,2009,PG-13,90,32,0.5
Fired Up!,2009,PG-13,90,24,16.8
Madea Goes to Jail,2009,PG-13,103,29,90.5
Crossing Over,2009,R,113,16,0.4
Echelon Conspiracy,2009,PG-13,105,0,0.5
Street Fighter: The Legend of Chun-Li,2009,PG-13,96,18,8.6
Jonas Brothers: The 3D Concert Experience,2009,G,76,24,19
Watchmen,2009,R,162,65,107.5
Race to Witch Mountain,2009,PG,98,43,67.1
The Last House on the Left,2009,R,110,41,32.7
Miss March,2009,R,90,5,4.5
Brothers at War,2009,R,110,68,0.0331
That Evening Sun,2009,PG-13,109,81,0.0838
"I Love You, Man",2009,R,105,84,71.3
Duplicity,2009,PG-13,125,64,40.6
Knowing,2009,PG-13,121,33,79.9
The Cross,2009,PG,90,18,0.6
12 Rounds,2009,PG-13,108,29,12.2
Monsters vs. Aliens,2009,PG,94,72,198.3
The Haunting in Connecticut,2009,PG-13,92,17,55.3
Fast & Furious,2009,PG-13,107,28,155
Adventureland,2009,R,107,88,16
Dragonball: Evolution,2009,PG,85,14,9.4
Observe and Report,2009,R,86,51,24
Hannah Montana: The Movie,2009,G,102,44,79.5
17 Again,2009,PG-13,102,55,64.1
State of Play,2009,PG-13,127,84,37
Crank: High Voltage,2009,R,96,63,13.6
Sin Nombre,2009,R,96,89,2.4
Fighting,2009,PG-13,105,39,23
Obsessed,2009,PG-13,108,19,68.3
Outrage,2009,R,90,78,0.2
The Soloist,2009,PG-13,117,56,31.7
X-Men Origins: Wolverine,2009,PG-13,107,38,179.7
Ghosts of Girlfriends Past,2009,PG-13,100,27,55.2
Star Trek,2009,PG-13,127,95,257.7
Next Day Air,2009,R,84,21,10
Angels & Demons,2009,PG-13,138,37,133.4
Terminator Salvation,2009,PG-13,115,33,125.3
Dance Flick,2009,PG-13,83,18,25.6
Night at the Museum: Battle of the Smithsonian,2009,PG,105,44,177.1
Drag Me to Hell,2009,PG-13,99,92,42.1
Up,2009,PG,96,98,293
Land of the Lost,2009,PG-13,102,26,49.4
My Life in Ruins,2009,PG-13,95,9,8.5
The Hangover,2009,R,100,79,277.3
Saint John of Las Vegas,2009,R,85,24,0.0722
Imagine That,2009,PG,107,40,16.1
The Taking of Pelham 1 2 3,2009,R,106,51,65.5
Amreeka,2009,PG-13,96,87,0.4
Year One,2009,PG-13,97,15,43.3
The Proposal,2009,PG-13,108,44,163.9
Transformers: Revenge of the Fallen,2009,PG-13,150,19,402.1
Tetro,2009,R,127,71,0.3
Away We Go,2009,R,98,67,9.4
My Sister's Keeper,2009,PG-13,109,48,49.1
Ice Age: Dawn of the Dinosaurs,2009,PG,94,45,196.6
Public Enemies,2009,R,140,68,97
Whatever Works,2009,PG-13,92,49,5.2
Spread,2009,R,97,21,0.1
The Girlfriend Experience,2009,R,77,66,0.6
"I Love You, Beth Cooper",2009,PG-13,102,14,141.2
Brüno,2009,R,81,68,60
Harry Potter and the Half-Blood Prince,2009,PG,153,84,301.9
G-Force,2009,PG,88,22,119.4
The Ugly Truth,2009,R,96,13,88.9
Orphan,2009,R,123,55,41.5
Funny People,2009,R,146,68,51.8
Aliens in the Attic,2009,PG,86,31,25
The Collector,2009,R,90,30,7.7
Shrink,2009,R,104,29,0.0932
Julie & Julia,2009,PG-13,123,75,94.1
(500) Days of Summer,2009,PG-13,95,86,32.1
A Perfect Getaway,2009,R,98,61,15.5
G.I. Joe: The Rise of Cobra,2009,PG-13,118,35,150.2
The Cove,2009,PG-13,92,94,0.6
District 9,2009,R,112,90,115.6
"The Goods: Live Hard, Sell Hard",2009,R,89,27,15
Bandslam,2009,PG,111,81,5.2
The Time Traveler's Wife,2009,PG-13,107,38,63.4
X Games 3D: The Movie,2009,PG,92,40,0.8
Shorts,2009,PG,89,45,20.9
Inglourious Basterds,2009,R,153,89,120.5
Post Grad,2009,PG-13,88,8,6.3
Halloween II,2009,R,105,19,33.3
Paper Heart,2009,PG-13,88,58,1.1
