Title	Year	Rating	Runtime	Tomato Meter	Box Office
Slow Burn	2005	R	93 min	12	$1.2M
Adam & Steve	2005	R	99 min	55	$0.2M
"The Prize Winner of Defiance, Ohio"	2005	PG-13	99 min	57	$0.4M
How the Garcia Girls Spent Their Summer	2005	R	128 min	79	$91.4k
Sweet Land	2005	PG	110 min	85	$1.3M
Love's Abiding Joy	2006	PG	87 min	13	$0.2M
Grandma's Boy	2006	R	94 min	18	$5.9M
Last Holiday	2006	PG-13	112 min	55	$38.4M
Tristan + Isolde	2006	PG-13	125 min	32	$14.6M
Underworld: Evolution	2006	R	106 min	16	$62.3M
Big Momma's House 2	2006	PG-13	99 min	6	$70.1M
Roving Mars	2006	G	40 min	70	$10.0M
Annapolis	2006	PG-13	108 min	10	$16.8M
Something New	2006	PG-13	99 min	61	$11.4M
When a Stranger Calls	2006	PG-13	87 min	9	$47.9M
Believe in Me	2006	PG	131 min	60	$0.2M
Final Destination 3	2006	R	93 min	43	$54.1M
Curious George	2006	G	86 min	69	$58.3M
The Pink Panther	2006	PG	93 min	22	$82.2M
Firewall	2006	PG-13	105 min	19	$48.7M
Freedomland	2006	R	113 min	23	$12.3M
Eight Below	2006	PG	120 min	72	$81.6M
The Second Chance	2006	PG-13	102 min	40	$0.4M
Date Movie	2006	PG-13	83 min	7	$48.5M
Madea's Family Reunion	2006	PG-13	107 min	25	$63.2M
Running Scared	2006	R	122 min	40	$6.7M
Doogal	2006	G	78 min	8	$7.3M
Deep Sea	2006	G	41 min	91	$42.0M
Aquamarine	2006	PG	104 min	51	$18.6M
Ultraviolet	2006	PG-13	88 min	9	$18.3M
16 Blocks	2006	PG-13	105 min	55	$36.9M
Failure to Launch	2006	PG-13	97 min	24	$88.7M
The Shaggy Dog	2006	PG	98 min	26	$61.0M
The Hills Have Eyes	2006	R	107 min	49	$41.7M
Don't Trip... He Ain't Through with Me Yet	2006	PG	90 min	45	$0.2M
Church Ball	2006	PG	91 min	18	$0.3M
Find Me Guilty	2006	R	125 min	61	$0.6M
Inside Man	2006	R	129 min	86	$88.4M
Larry the Cable Guy: Health Inspector	2006	PG-13	89 min	5	$15.7M
Stay Alive	2006	PG-13	85 min	9	$23.0M
Slither	2006	R	95 min	86	$7.8M
ATL	2006	PG-13	105 min	62	$21.2M
Basic Instinct 2	2006	R	114 min	7	$5.9M
Ice Age: The Meltdown	2006	PG	91 min	57	$195.3M
The Benchwarmers	2006	PG-13	80 min	11	$57.7M
Phat Girlz	2006	PG-13	99 min	23	$6.9M
Take the Lead	2006	PG-13	118 min	44	$34.7M
Ask the Dust	2006	R	117 min	35	$0.6M
Scary Movie 4	2006	PG-13	83 min	37	$90.7M
The Wild	2006	G	94 min	20	$37.3M
The Sentinel	2006	PG-13	108 min	33	$36.2M
American Dreamz	2006	PG-13	107 min	41	$7.2M
Journey from the Fall	2006	R	135 min	92	$0.5M
Silent Hill	2006	R	125 min	29	$47.0M
Akeelah and the Bee	2006	PG	112 min	84	$18.8M
Stick It	2006	PG-13	103 min	31	$26.9M
The TV Set	2006	R	88 min	64	$34.5k
United 93	2006	R	111 min	91	$31.5M
RV	2006	PG	99 min	23	$71.4M
Hoot	2006	PG	91 min	26	$8.1M
Mission: Impossible III	2006	PG-13	126 min	70	$133.4M
Art School Confidential	2006	R	102 min	36	$3.2M
Just My Luck	2006	PG-13	103 min	13	$17.2M
Poseidon	2006	PG-13	98 min	33	$60.7M
See No Evil	2006	R	84 min	8	$15.0M
Over the Hedge	2006	PG	83 min	75	$155.0M
The Da Vinci Code	2006	PG-13	149 min	25	$217.5M
X-Men: The Last Stand	2006	PG-13	104 min	58	$234.2M
The Break-Up	2006	PG-13	106 min	33	$118.7M
Keeping Up with the Steins	2006	PG-13	90 min	37	$4.3M
The Omen	2006	R	110 min	27	$54.6M
A Prairie Home Companion	2006	PG-13	105 min	81	$20.2M
Cars	2006	G	117 min	74	$244.1M
Garfield 2	2006	PG	78 min	11	$28.3M
The Fast and the Furious: Tokyo Drift	2006	PG-13	104 min	37	$62.5M
The Lake House	2006	PG	99 min	35	$52.3M
Nacho Libre	2006	PG	92 min	40	$80.2M
Click	2006	PG-13	107 min	32	$137.3M
Peaceful Warrior	2006	PG-13	120 min	25	$1.0M
Romeo & Juliet: Sealed with a Kiss	2006	G	76 min	20	$80.9k
Waist Deep	2006	R	97 min	27	$21.3M
Superman Returns	2006	PG-13	154 min	76	$200.0M
The Devil Wears Prada	2006	PG-13	109 min	75	$124.7M
An Inconvenient Truth	2006	PG	100 min	93	$23.7M
Quinceañera	2006	R	90 min	86	$1.5M
Pirates of the Caribbean: Dead Man's Chest	2006	PG-13	151 min	54	$423.0M
"You, Me and Dupree"	2006	PG-13	108 min	21	$75.6M
Littleman	2006	PG-13	98 min	12	$58.3M
The Celestine Prophecy	2006	PG	99 min	4	$1.0M
Monster House	2006	PG	91 min	74	$73.7M
Lady in the Water	2006	PG-13	110 min	24	$42.2M
Wordplay	2006	PG	94 min	95	$2.9M
Clerks II	2006	R	97 min	63	$24.0M
My Super Ex-Girlfriend	2006	PG-13	95 min	40	$22.4M
Miami Vice	2006	R	134 min	47	$63.4M
John Tucker Must Die	2006	PG-13	89 min	26	$40.9M
Scoop	2006	PG-13	96 min	39	$10.5M
The Ant Bully	2006	PG	88 min	63	$28.1M
A Scanner Darkly	2006	R	100 min	69	$5.3M
Barnyard	2006	PG	90 min	22	$72.6M
Talladega Nights: The Ballad of Ricky Bobby	2006	PG-13	108 min	72	$148.2M
Who Killed the Electric Car?	2006	PG	92 min	88	$1.3M
The Night Listener	2006	R	91 min	40	$7.8M
World Trade Center	2006	PG-13	129 min	68	$70.2M
The Butterfly Effect 2	2006	R	92 min	0	$57.0M
Pulse	2006	PG-13	90 min	10	$20.2M
Step Up	2006	PG-13	104 min	19	$65.3M
Zoom	2006	PG	83 min	3	$11.6M
Snakes on a Plane	2006	R	105 min	68	$33.9M
Accepted	2006	PG-13	93 min	36	$36.3M
Little Miss Sunshine	2006	R	101 min	91	$59.8M
Material Girls	2006	PG	97 min	4	$11.3M
Invincible	2006	PG	105 min	71	$57.8M
How to Eat Fried Worms	2006	PG	98 min	59	$13.0M
Idlewild	2006	R	121 min	48	$12.5M
Beerfest	2006	R	110 min	41	$19.0M
Crank	2006	R	88 min	61	$27.8M
Crossover	2006	PG-13	95 min	2	$7.0M
The Illusionist	2006	PG-13	110 min	74	$39.7M
The Covenant	2006	PG-13	97 min	3	$23.3M
Hollywoodland	2006	R	126 min	69	$14.3M
Broken Bridges	2006	PG-13	105 min	5	$0.2M
Everyone's Hero	2006	G	88 min	41	$14.5M
The Last Kiss	2006	R	104 min	46	$11.5M
Beer League	2006	R	86 min	27	$0.5M
Gridiron Gang	2006	PG-13	125 min	42	$38.4M
The Black Dahlia	2006	R	121 min	32	$22.5M
Flyboys	2006	PG-13	140 min	33	$13.0M
Jackass Number Two	2006	R	92 min	63	$72.8M
Half Nelson	2006	R	106 min	90	$2.6M
Open Season	2006	PG	83 min	48	$84.3M
School for Scoundrels	2006	PG-13	100 min	25	$17.8M
Facing the Giants	2006	PG	111 min	13	$10.1M
The Guardian	2006	PG-13	139 min	37	$55.0M
The Texas Chainsaw Massacre: The Beginning	2006	R	91 min	12	$39.4M
The Departed	2006	R	151 min	91	$132.3M
Employee of the Month	2006	PG-13	103 min	20	$28.4M
Infamous	2006	R	110 min	73	$1.1M
The Grudge 2	2006	PG-13	102 min	10	$39.1M
One Night with the King	2006	PG	123 min	19	$13.4M
A Guide to Recognizing Your Saints	2006	R	100 min	76	$0.4M
Alex Rider: Operation Stormbreaker	2006	PG	93 min	34	$0.6M
Man of the Year	2006	PG-13	115 min	21	$37.4M
The Marine	2006	PG-13	92 min	20	$18.7M
O Jerusalem	2006	R	100 min	35	$0.2M
Fur: An Imaginary Portrait of Diane Arbus	2006	R	122 min	32	$0.1M
Flags of Our Fathers	2006	R	135 min	73	$33.6M
Marie Antoinette	2006	PG-13	123 min	55	$16.0M
The Prestige	2006	PG-13	130 min	76	$53.0M
Flicka	2006	PG	95 min	54	$20.9M
Lonely Hearts	2006	R	108 min	48	$0.1M
Running with Scissors	2006	R	116 min	31	$6.8M
Saw III	2006	R	108 min	28	$80.2M
Conversations with God	2006	PG	109 min	7	$0.3M
Catch a Fire	2006	PG-13	101 min	76	$4.3M
Little Children	2006	R	136 min	80	$5.3M
The Santa Clause 3: The Escape Clause	2006	G	97 min	15	$84.4M
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	2006	R	84 min	91	$128.4M
Flushed Away	2006	PG	85 min	72	$64.5M
Babel	2006	R	143 min	69	$34.2M
Breaking and Entering	2006	R	120 min	34	$0.9M
The Return	2006	PG-13	85 min	16	$7.7M
A Good Year	2006	PG-13	117 min	25	$7.4M
Goya's Ghosts	2006	R	113 min	30	$0.7M
Stranger Than Fiction	2006	PG-13	113 min	72	$40.1M
The Queen	2006	PG-13	103 min	97	$56.2M
Happy Feet	2006	PG	108 min	75	$197.9M
Fast Food Nation	2006	R	116 min	50	$0.9M
Let's Go to Prison	2006	R	84 min	12	$5.5M
Casino Royale	2006	PG-13	144 min	95	$167.0M
The Fountain	2006	PG-13	96 min	51	$10.0M
For Your Consideration	2006	PG-13	86 min	50	$5.5M
Deck the Halls	2006	PG	93 min	6	$35.1M
Tenacious D in The Pick of Destiny	2006	R	93 min	54	$8.2M
Deja Vu	2006	PG-13	126 min	55	$63.9M
Bobby	2006	R	120 min	46	$11.1M
The Nativity Story	2006	PG	101 min	38	$37.6M
Turistas	2006	R	93 min	16	$6.9M
Van Wilder 2: The Rise of Taj	2006	R	97 min	7	$3.8M
The U.S. vs. John Lennon	2006	PG-13	99 min	77	$1.0M
The Holiday	2006	PG-13	138 min	47	$63.2M
Apocalypto	2006	R	139 min	65	$50.8M
Unaccompanied Minors	2006	PG	90 min	31	$16.6M
Blood Diamond	2006	R	143 min	62	$57.3M
Charlotte's Web	2006	G	97 min	78	$82.1M
The Pursuit of Happyness	2006	PG-13	117 min	67	$162.6M
Rocky Balboa	2006	PG	102 min	76	$70.1M
We Are Marshall	2006	PG	131 min	49	$43.5M
Night at the Museum	2006	PG	108 min	44	$250.8M
The Good Shepherd	2006	R	167 min	54	$59.8M
Dreamgirls	2006	PG-13	130 min	78	$103.3M
Happily N'Ever After	2006	PG	87 min	4	$151.9M
Thr3e	2006	PG-13	101 min	5	$1.0M
Children of Men	2006	R	109 min	92	$35.3M
Alpha Dog	2006	R	122 min	55	$15.1M
God Grew Tired of Us	2006	PG	89 min	91	$0.1M
Pan's Labyrinth	2006	R	118 min	95	$37.4M
The Painted Veil	2006	PG-13	125 min	74	$7.9M
The Good German	2006	R	105 min	33	$0.9M
Idiocracy	2006	R	84 min	73	$0.3M
Smokin' Aces	2006	R	108 min	29	$35.6M
Catch and Release	2006	PG-13	124 min	21	$15.3M
Letters from Iwo Jima	2006	R	141 min	91	$13.7M
10 Items or Less	2006	R	82 min	63	$69.3k
Factory Girl	2006	R	90 min	19	$1.6M
The Bridge	2006	R	94 min	67	$49.3k
The Astronaut Farmer	2006	PG	104 min	57	$11.0M
Amazing Grace	2006	PG	118 min	70	$21.2M
Black Snake Moan	2006	R	116 min	66	$9.3M
Copying Beethoven	2006	PG-13	104 min	28	$0.2M
300	2006	R	117 min	60	$210.6M
Starter for 10	2006	PG-13	92 min	89	$0.2M
Miss Potter	2006	PG	92 min	66	$2.9M
The Ultimate Gift	2006	PG	114 min	32	$3.2M
First Snow	2006	R	101 min	58	$0.1M
The Namesake	2006	PG-13	122 min	87	$13.5M
Seraphim Falls	2006	R	115 min	55	$0.3M
Jesus Camp	2006	PG-13	87 min	87	$0.8M
Blind Dating	2006	PG-13	95 min	25	$61.9k
The Ex	2006	PG-13	89 min	19	$3.0M
Away from Her	2006	PG-13	110 min	94	$15.8M
Bug	2006	R	102 min	61	$7.0M
Hollywood Dreams	2006	R	100 min	36	$89.2k
DOA: Dead or Alive	2006	PG-13	87 min	34	$0.3M
Rescue Dawn	2006	PG-13	120 min	91	$5.3M
El cantante	2006	R	106 min	25	$7.5M
Mini's First Time	2006	R	91 min	54	$21.8k
Skinwalkers	2006	R	110 min	14	$1.0M
Come Early Morning	2006	R	97 min	83	$50.2k
Fay Grim	2006	R	118 min	44	$61.8k
Bella	2006	PG-13	91 min	44	$7.9M
Southland Tales	2006	R	145 min	36	$0.2M
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland	2006	R	100 min	57	$0.5M
Penelope	2006	PG	104 min	53	$9.8M
Bonneville	2006	PG	93 min	40	$0.3M
Little Chenier	2006	R	120 min	60	$44.4k
The Fall	2006	R	117 min	59	$2.1M
Civic Duty	2006	R	98 min	56	$54.9k
The Foot Fist Way	2006	R	85 min	54	$0.2M
The Heart Specialist	2006	R	99 min	0	$1.1M
Starting Out in the Evening	2007	PG-13	111 min	87	$0.6M
Music Within	2007	R	94 min	33	$0.1M
Code Name: The Cleaner	2007	PG-13	84 min	4	$8.1M
Freedom Writers	2007	PG-13	123 min	69	$36.5M
Primeval	2007	R	93 min	19	$10.4M
Stomp the Yard	2007	PG-13	109 min	26	$61.4M
The Hitcher	2007	R	84 min	21	$16.2M
Blood and Chocolate	2007	PG-13	98 min	11	$3.4M
Epic Movie	2007	PG-13	86 min	2	$39.7M
Because I Said So	2007	PG-13	102 min	5	$42.6M
The Messengers	2007	PG-13	90 min	12	$35.4M
The Last Sin Eater	2007	PG-13	117 min	19	$0.2M
Norbit	2007	PG-13	102 min	9	$95.3M
Daddy's Little Girls	2007	PG-13	100 min	26	$31.3M
Music and Lyrics	2007	PG-13	96 min	62	$50.5M
Bridge to Terabithia	2007	PG	96 min	85	$82.2M
Breach	2007	PG-13	110 min	84	$33.0M
Ghost Rider	2007	PG-13	114 min	26	$115.8M
The Number 23	2007	R	101 min	8	$35.1M
Reno 911!: Miami	2007	R	84 min	35	$20.3M
Wild Hogs	2007	PG-13	100 min	14	$168.2M
Zodiac	2007	R	157 min	89	$33.0M
Shoot Down	2007	PG-13	85 min	80	$51.4k
Dead Silence	2007	R	89 min	21	$16.5M
Premonition	2007	PG-13	96 min	8	$47.9M
Reign Over Me	2007	R	124 min	64	$19.7M
Shooter	2007	R	124 min	48	$47.0M
The Hills Have Eyes II	2007	R	89 min	11	$20.8M
TMNT	2007	PG	87 min	34	$54.1M
Pride	2007	PG	104 min	45	$7.0M
The Last Mimzy	2007	PG	90 min	53	$21.4M
Blades of Glory	2007	PG-13	93 min	69	$118.2M
Meet the Robinsons	2007	G	95 min	66	$97.7M
The Lookout	2007	R	99 min	87	$4.5M
Are We Done Yet?	2007	PG	92 min	8	$50.0M
Firehouse Dog	2007	PG	111 min	38	$13.9M
The Reaping	2007	R	99 min	8	$25.1M
Grindhouse	2007	R	191 min	83	$24.9M
Redline	2007	PG-13	95 min	0	$6.8M
Disturbia	2007	PG-13	105 min	68	$80.1M
Aqua Teen Hunger Force Colon Movie Film for Theaters	2007	R	86 min	48	$5.4M
My Name Is Bruce	2007	R	86 min	40	$0.1M
Perfect Stranger	2007	R	109 min	11	$23.7M
Pathfinder	2007	R	99 min	11	$10.2M
Hot Fuzz	2007	R	121 min	91	$23.6M
Fracture	2007	R	113 min	71	$39.0M
Vacancy	2007	R	85 min	56	$19.0M
In the Land of Women	2007	PG-13	97 min	43	$11.0M
The Hammer	2007	R	88 min	80	$0.3M
The Condemned	2007	R	113 min	15	$7.3M
The Invisible	2007	PG-13	102 min	20	$20.5M
Next	2007	PG-13	96 min	28	$18.0M
Spider-Man 3	2007	PG-13	139 min	63	$336.5M
Lucky You	2007	PG-13	124 min	29	$5.7M
Interview	2007	R	84 min	57	$0.3M
Delta Farce	2007	PG-13	90 min	5	$8.1M
Georgia Rule	2007	R	113 min	17	$18.9M
Year of the Dog	2007	PG-13	97 min	69	$1.5M
Shrek the Third	2007	PG	93 min	40	$320.7M
Pirates of the Caribbean: At World's End	2007	PG-13	169 min	45	$309.4M
Waitress	2007	PG-13	108 min	89	$18.7M
Mr. Brooks	2007	R	120 min	55	$28.4M
Crazy Love	2007	PG-13	92 min	78	$0.2M
Gracie	2007	PG-13	95 min	60	$2.9M
Hostel: Part II	2007	R	94 min	44	$17.5M
Ocean's Thirteen	2007	PG-13	122 min	70	$117.1M
Surf's Up	2007	PG	85 min	78	$58.9M
The Living Wake	2007	PG-13	91 min	50	$12.1k
Fantastic 4: Rise of the Silver Surfer	2007	PG	92 min	37	$131.8M
Nancy Drew	2007	PG	99 min	49	$25.5M
1408	2007	PG-13	104 min	79	$71.9M
A Mighty Heart	2007	R	108 min	79	$9.1M
Evan Almighty	2007	PG	96 min	23	$100.3M
Live Free or Die Hard	2007	PG-13	128 min	82	$134.5M
Ratatouille	2007	G	111 min	96	$206.4M
Evening	2007	PG-13	117 min	27	$12.4M
License to Wed	2007	PG-13	91 min	7	$43.7M
Nanking	2007	R	88 min	96	$45.5k
Sicko	2007	PG-13	123 min	92	$24.3M
Rise: Blood Hunter	2007	R	97 min	33	$59.4k
Harry Potter and the Order of the Phoenix	2007	PG-13	138 min	79	$292.0M
You Kill Me	2007	R	93 min	78	$2.3M
Captivity	2007	R	96 min	9	$2.6M
Joshua	2007	R	106 min	62	$0.4M
I Now Pronounce You Chuck & Larry	2007	PG-13	115 min	14	$119.7M
Hairspray	2007	PG	117 min	91	$118.8M
Who's Your Caddy?	2007	PG-13	93 min	6	$5.5M
I Know Who Killed Me	2007	R	105 min	7	$7.2M
The Simpsons Movie	2007	PG-13	87 min	90	$183.0M
No Reservations	2007	PG	104 min	42	$43.1M
Bratz	2007	PG	110 min	9	$9.9M
Underdog	2007	PG	84 min	14	$43.7M
Hot Rod	2007	PG-13	88 min	40	$13.9M
Talk to Me	2007	R	118 min	82	$4.4M
The Bourne Ultimatum	2007	PG-13	115 min	93	$227.4M
Daddy Day Camp	2007	PG	93 min	1	$13.2M
The Walker	2007	R	108 min	54	$43.2k
Rush Hour 3	2007	PG-13	91 min	18	$140.1M
Stardust	2007	PG-13	127 min	76	$38.2M
Superbad	2007	R	113 min	88	$121.5M
Arctic Tale	2007	G	96 min	61	$0.6M
The Invasion	2007	PG-13	99 min	19	$15.0M
September Dawn	2007	R	111 min	13	$1.1M
Resurrecting the Champ	2007	PG-13	112 min	60	$2.9M
Illegal Tender	2007	R	108 min	15	$3.1M
The Legend of God's Gun	2007	R	78 min	0	$77.2k
Balls of Fury	2007	PG-13	90 min	23	$32.8M
Halloween	2007	R	109 min	25	$58.2M
Death Sentence	2007	R	105 min	20	$9.5M
Ladrón que roba a ladrón	2007	PG-13	98 min	66	$4.0M
The Brothers Solomon	2007	R	93 min	15	$0.9M
Shoot 'Em Up	2007	R	86 min	67	$12.7M
3:10 to Yuma	2007	R	122 min	89	$53.6M
Greetings from the Shore	2007	R	116 min	70	$40.5k
Mr. Woodcock	2007	PG-13	87 min	13	$25.8M
The Brave One	2007	R	122 min	43	$36.8M
The Hunting Party	2007	R	101 min	53	$0.8M
Eastern Promises	2007	R	100 min	89	$17.1M
Sydney White	2007	PG-13	108 min	37	$11.7M
Resident Evil: Extinction	2007	R	94 min	22	$50.6M
Good Luck Chuck	2007	R	96 min	5	$35.0M
Feast of Love	2007	R	101 min	39	$3.4M
In the Valley of Elah	2007	R	121 min	73	$6.6M
Rocket Science	2007	R	101 min	84	$0.6M
The Kingdom	2007	R	110 min	51	$47.5M
The Game Plan	2007	PG	110 min	29	$90.5M
Feel the Noise	2007	PG-13	86 min	12	$5.9M
The Heartbreak Kid	2007	R	116 min	29	$36.8M
Control	2007	R	122 min	87	$0.8M
The Jane Austen Book Club	2007	PG-13	106 min	65	$3.3M
The 11th Hour	2007	PG	95 min	67	$0.6M
Elizabeth: The Golden Age	2007	PG-13	114 min	35	$16.3M
The Final Season	2007	PG	119 min	26	$1.0M
Michael Clayton	2007	R	119 min	90	$49.0M
We Own the Night	2007	R	117 min	57	$28.6M
Across the Universe	2007	PG-13	133 min	53	$24.3M
Trade	2007	R	120 min	29	$0.1M
Rendition	2007	R	122 min	47	$9.7M
Sarah Landon and the Paranormal Hour	2007	PG	81 min	0	$0.8M
Into the Wild	2007	R	148 min	82	$18.2M
The Ten Commandments	2007	PG	88 min	14	$0.8M
30 Days of Night	2007	R	113 min	51	$39.6M
Gone Baby Gone	2007	R	114 min	94	$20.3M
Things We Lost in the Fire	2007	R	118 min	65	$3.2M
The Assassination of Jesse James by the Coward Robert Ford	2007	R	160 min	76	$3.8M
The Comebacks	2007	PG-13	84 min	9	$13.3M
Paranoid Park	2007	R	85 min	76	$0.2M
The Darjeeling Limited	2007	R	91 min	68	$11.7M
Dan in Real Life	2007	PG-13	98 min	64	$47.6M
Saw IV	2007	R	93 min	17	$63.3M
Youth Without Youth	2007	R	124 min	30	$0.1M
Darfur Now	2007	PG	98 min	73	$63.9k
Lars and the Real Girl	2007	PG-13	106 min	81	$5.8M
Bee Movie	2007	PG	91 min	51	$126.6M
In the Shadow of the Moon	2007	PG	100 min	95	$0.9M
Martian Child	2007	PG	106 min	33	$7.5M
American Gangster	2007	R	157 min	80	$130.1M
Lions for Lambs	2007	R	92 min	27	$15.0M
P2	2007	R	98 min	35	$4.0M
Fred Claus	2007	PG	116 min	21	$72.0M
Mr. Magorium's Wonder Emporium	2007	G	93 min	37	$31.9M
What Would Jesus Buy?	2007	PG	91 min	57	$0.1M
Love in the Time of Cholera	2007	R	139 min	26	$4.6M
Beowulf	2007	PG-13	115 min	71	$82.2M
Redacted	2007	R	90 min	45	$25.6k
Enchanted	2007	PG	107 min	93	$127.7M
No Country for Old Men	2007	R	122 min	93	$74.2M
August Rush	2007	PG	114 min	37	$31.5M
The Mist	2007	R	126 min	73	$25.5M
This Christmas	2007	PG-13	117 min	56	$49.1M
Sleuth	2007	R	86 min	36	$0.2M
Awake	2007	R	84 min	23	$14.3M
The Golden Compass	2007	PG-13	113 min	42	$70.1M
I'm Not There.	2007	R	135 min	76	$3.7M
Before the Devil Knows You're Dead	2007	R	117 min	88	$7.0M
Noëlle	2007	PG	90 min	57	$0.2M
The Perfect Holiday	2007	PG	96 min	16	$5.8M
I Am Legend	2007	PG-13	101 min	70	$256.3M
Alvin and the Chipmunks	2007	PG	92 min	27	$217.2M
Margot at the Wedding	2007	R	91 min	52	$1.9M
Charlie Wilson's War	2007	R	102 min	82	$66.6M
Walk Hard: The Dewey Cox Story	2007	R	96 min	74	$18.3M
National Treasure: Book of Secrets	2007	PG	124 min	35	$219.9M
Sweeney Todd: The Demon Barber of Fleet Street	2007	R	116 min	86	$52.8M
Juno	2007	PG-13	96 min	94	$143.4M
Aliens vs. Predator: Requiem	2007	R	94 min	12	$41.7M
In the Name of the King: A Dungeon Siege Tale	2007	PG-13	127 min	4	$4.5M
The Kite Runner	2007	PG-13	128 min	66	$15.7M
The Bucket List	2007	PG-13	97 min	41	$93.5M
Atonement	2007	R	123 min	83	$50.8M
Cassandra's Dream	2007	PG-13	108 min	46	$0.9M
How She Move	2007	PG-13	94 min	66	$7.0M
There Will Be Blood	2007	R	158 min	91	$40.1M
The Savages	2007	R	113 min	89	$6.4M
The Diving Bell and the Butterfly	2007	PG-13	112 min	94	$5.9M
Diary of the Dead	2007	R	95 min	62	$0.7M
Charlie Bartlett	2007	R	97 min	56	$3.7M
Persepolis	2007	PG-13	96 min	96	$4.3M
U2 3D	2007	G	85 min	93	$10.4M
The King of Kong: A Fistful of Quarters	2007	PG-13	79 min	97	$0.5M
The Band's Visit	2007	PG-13	87 min	98	$3.0M
"Run, Fatboy, Run"	2007	PG-13	100 min	48	$5.9M
Married Life	2007	PG-13	91 min	55	$1.2M
Teeth	2007	R	94 min	79	$0.2M
Funny Games	2007	R	111 min	52	$1.0M
Under the Same Moon	2007	PG-13	106 min	73	$12.5M
88 Minutes	2007	R	108 min	5	$16.9M
Then She Found Me	2007	R	100 min	50	$3.7M
Surfwise	2007	R	93 min	98	$0.2M
The Visitor	2007	PG-13	104 min	89	$9.2M
Trumbo	2007	PG-13	96 min	82	$28.1k
Broken English	2007	PG-13	93 min	64	$0.8M
Encounters at the End of the World	2007	G	99 min	94	$0.7M
The Ten	2007	R	96 min	37	$0.5M
The Life Before Her Eyes	2007	R	90 min	24	$0.2M
Snow Angels	2007	R	107 min	68	$0.3M
Towelhead	2007	R	124 min	49	$0.3M
Tortilla Heaven	2007	PG-13	98 min	25	$73.5k
Nobel Son	2007	R	110 min	25	$0.3M
Everybody Wants to Be Italian	2007	R	105 min	9	$0.3M
Earth	2007	G	90 min	87	$32.0M
Battle for Terra	2007	PG	85 min	48	$1.6M
Brooklyn Rules	2007	R	99 min	45	$0.2M
Paranormal Activity	2007	R	86 min	83	$107.9M
One Missed Call	2008	PG-13	87 min	0	$26.8M
The Pirates Who Don't Do Anything: A VeggieTales Movie	2008	G	85 min	39	$12.7M
Mad Money	2008	PG-13	104 min	22	$20.5M
27 Dresses	2008	PG-13	111 min	41	$76.8M
Cloverfield	2008	PG-13	85 min	77	$80.0M
Bigger Stronger Faster*	2008	PG-13	105 min	96	$0.2M
The Mysteries of Pittsburgh	2008	R	95 min	12	$32.8k
Untraceable	2008	R	101 min	16	$28.7M
Meet the Spartans	2008	PG-13	86 min	2	$38.2M
Rambo	2008	R	92 min	37	$42.7M
Over Her Dead Body	2008	PG-13	95 min	15	$7.5M
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert	2008	G	74 min	72	$65.1M
The Eye	2008	PG-13	98 min	22	$31.4M
Strange Wilderness	2008	R	87 min	2	$6.5M
Fool's Gold	2008	PG-13	112 min	11	$70.2M
"Welcome Home, Roscoe Jenkins"	2008	PG-13	114 min	22	$42.2M
Jumper	2008	PG-13	88 min	16	$80.1M
Step Up 2: The Streets	2008	PG-13	98 min	27	$58.0M
The Spiderwick Chronicles	2008	PG	96 min	80	$71.1M
"Definitely, Maybe"	2008	PG-13	112 min	71	$32.0M
Witless Protection	2008	PG-13	97 min	4	$4.1M
Be Kind Rewind	2008	PG-13	102 min	66	$11.0M
Vantage Point	2008	PG-13	90 min	35	$72.3M
Semi-Pro	2008	R	91 min	21	$33.4M
In Bruges	2008	R	107 min	84	$7.6M
The Other Boleyn Girl	2008	PG-13	115 min	42	$26.8M
"10,000 BC"	2008	PG-13	109 min	8	$94.8M
Miss Pettigrew Lives for a Day	2008	PG-13	92 min	77	$12.3M
College Road Trip	2008	G	83 min	13	$45.6M
The Bank Job	2008	R	111 min	79	$30.0M
Never Back Down	2008	PG-13	110 min	22	$24.8M
Doomsday	2008	R	105 min	50	$11.0M
Horton Hears a Who!	2008	G	86 min	79	$154.4M
Meet the Browns	2008	PG-13	100 min	32	$41.9M
Shutter	2008	PG-13	85 min	7	$25.9M
Drillbit Taylor	2008	PG-13	110 min	25	$32.9M
Stop-Loss	2008	R	112 min	65	$10.8M
21	2008	PG-13	123 min	36	$81.2M
Superhero Movie	2008	PG-13	75 min	16	$25.8M
Nim's Island	2008	PG	96 min	51	$47.9M
Shine a Light	2008	PG-13	122 min	87	$5.4M
Leatherheads	2008	PG-13	114 min	52	$31.2M
The Ruins	2008	R	90 min	48	$17.4M
Street Kings	2008	R	109 min	36	$26.4M
Prom Night	2008	PG-13	88 min	8	$43.8M
Smart People	2008	R	95 min	49	$9.5M
Forgetting Sarah Marshall	2008	R	111 min	85	$62.9M
Expelled: No Intelligence Allowed	2008	PG	90 min	11	$7.5M
The Forbidden Kingdom	2008	PG-13	104 min	64	$51.9M
Deception	2008	R	107 min	14	$4.6M
Harold & Kumar Escape from Guantanamo Bay	2008	R	104 min	53	$38.1M
Baby Mama	2008	PG-13	99 min	64	$60.3M
Iron Man	2008	PG-13	126 min	94	$318.3M
Made of Honor	2008	PG-13	101 min	14	$46.0M
